id,loan_status
58645,0.99773383
58646,0.01870317
58647,0.63062465
58648,0.004727236
58649,0.040557582
58650,0.9481188
58651,0.0022045854
58652,0.0029671057
58653,0.5703115
58654,0.005836573
58655,0.10592372
58656,0.033836864
58657,0.027116882
58658,0.0010174386
58659,0.010536148
58660,0.09152511
58661,0.00874228
58662,0.003081815
58663,0.018905815
58664,0.007836183
58665,0.018975934
58666,0.0047725015
58667,0.0004970225
58668,0.0053444724
58669,0.0078097275
58670,0.00012231377
58671,0.19309933
58672,0.0011355154
58673,0.9085269
58674,0.0013813508
58675,0.0022700366
58676,0.25911382
58677,0.023340164
58678,0.00045186764
58679,0.23645481
58680,0.9931639
58681,0.025666831
58682,0.0011835577
58683,0.010092702
58684,0.15563089
58685,0.05201749
58686,0.02323376
58687,0.6649297
58688,0.11416118
58689,0.2559612
58690,0.00018095045
58691,0.006551829
58692,0.004785615
58693,0.0057309964
58694,0.30126312
58695,0.9731026
58696,0.0036142375
58697,0.017472658
58698,0.0050861817
58699,0.0034293286
58700,0.0026429999
58701,0.0013450622
58702,0.00936414
58703,0.16799597
58704,0.26998585
58705,0.063596815
58706,0.012893858
58707,0.003071923
58708,0.015022337
58709,0.98060924
58710,0.12100971
58711,0.9632584
58712,0.0747834
58713,0.00035300755
58714,0.029974295
58715,0.0045316443
58716,0.15875897
58717,0.010299528
58718,0.041998226
58719,0.0012937955
58720,0.00027104194
58721,0.06933475
58722,0.17313308
58723,0.011564857
58724,0.005065018
58725,0.0037792106
58726,0.005358562
58727,0.2279194
58728,0.04691627
58729,0.0031674886
58730,0.0026789247
58731,0.0024571363
58732,0.2970608
58733,9.7700875e-05
58734,0.008892541
58735,0.011276155
58736,0.04777332
58737,0.022335028
58738,0.99320143
58739,0.46053347
58740,0.7781238
58741,0.024483498
58742,0.0011679294
58743,0.010240793
58744,0.0021838164
58745,0.007364682
58746,0.0458198
58747,0.0005671716
58748,0.07593868
58749,0.031847935
58750,0.0049483497
58751,0.025180908
58752,0.9132079
58753,0.0005287467
58754,0.044518527
58755,0.11323437
58756,0.0049838447
58757,0.030091103
58758,0.0028069427
58759,0.005711033
58760,0.0015073597
58761,0.015326735
58762,0.0013558522
58763,0.9906749
58764,0.0030890135
58765,0.03402496
58766,0.0014059091
58767,0.004261532
58768,0.95354867
58769,0.0015059774
58770,0.01743786
58771,0.028169835
58772,0.01122681
58773,0.017771782
58774,0.003151113
58775,0.86498386
58776,0.92595625
58777,0.0028098992
58778,0.056391135
58779,0.06985304
58780,0.009608894
58781,0.009065227
58782,0.04507088
58783,0.031117719
58784,0.0022977851
58785,0.00047420294
58786,0.02995977
58787,0.058686532
58788,0.20670381
58789,0.047158096
58790,0.023982435
58791,0.07258063
58792,0.00015382413
58793,0.02975712
58794,0.0058356156
58795,0.011718429
58796,0.027458254
58797,0.013074618
58798,0.07384277
58799,0.67745376
58800,0.014085177
58801,0.00081030896
58802,0.96318793
58803,0.29741135
58804,0.66285545
58805,0.9150834
58806,0.07099387
58807,0.014395882
58808,0.009406523
58809,0.99614453
58810,0.90066206
58811,0.023164231
58812,0.049717087
58813,0.029546684
58814,0.025816577
58815,0.006745651
58816,0.005737948
58817,0.0004916403
58818,0.044609655
58819,0.26275152
58820,0.0009266117
58821,0.030383168
58822,0.0020720994
58823,0.1575148
58824,0.06738162
58825,0.0056013525
58826,0.028340416
58827,0.02148639
58828,0.002717189
58829,0.07370218
58830,0.003857714
58831,0.4012348
58832,0.0016338177
58833,0.0068435795
58834,0.010129192
58835,0.9674172
58836,0.015418058
58837,0.123286515
58838,0.0034362008
58839,0.00064856827
58840,0.0042604897
58841,0.95905733
58842,0.0005644721
58843,0.0047444655
58844,0.05120546
58845,0.040522225
58846,0.00013359277
58847,0.97012186
58848,0.15728754
58849,0.10343994
58850,0.008365829
58851,0.1831814
58852,0.22797118
58853,0.016421761
58854,0.9983309
58855,0.50186473
58856,0.0020017922
58857,0.01616228
58858,0.14158636
58859,0.00775634
58860,0.0011652386
58861,0.009098754
58862,0.14286704
58863,0.1988233
58864,0.0057311784
58865,0.13677034
58866,0.007835356
58867,0.0001238699
58868,0.014823479
58869,0.010284083
58870,0.17467846
58871,0.00024038213
58872,0.017786087
